"Volt","Freq","Zreal","Zimag"
4.187,0.0001259,0.1249,0.3743
4.187,9.99e-05,0.1263,0.4641
4.187,7.948e-05,0.1328,0.578
4.187,6.308e-05,0.1344,0.7204
4.187,5.009e-05,0.1409,0.9014
4.187,3.983e-05,0.1494,1.128
4.187,3.162e-05,0.1586,1.413
4.187,2.512e-05,0.1788,1.784
4.187,1.995e-05,0.197,2.251
4.193,10080,0.0121,-0.005162
4.193,8016,0.01203,-0.003968
4.193,6328,0.01198,-0.002911
4.193,5016,0.01199,-0.002043
4.193,3984,0.01205,-0.001321
4.193,3171,0.01215,-0.000711
4.193,2528,0.01229,-0.0001913
4.193,1976,0.01248,0.0002968
4.193,1578,0.01268,0.0006842
4.193,1266,0.01292,0.001012
4.193,998.3,0.0132,0.001321
4.193,796.9,0.01349,0.001574
4.193,627.8,0.01384,0.001806
4.193,505.5,0.01418,0.001987
4.193,398,0.01457,0.002145
4.193,315.5,0.01496,0.002265
4.193,252.4,0.01534,0.002352
4.193,198.6,0.01575,0.002417
4.193,158.4,0.01613,0.002462
4.193,125.6,0.01651,0.002497
4.193,100.4,0.01686,0.002524
4.193,79,0.01722,0.00256
4.193,63.34,0.01754,0.0026
4.193,50.22,0.01785,0.002668
4.193,38.42,0.01818,0.002794
4.193,31.25,0.01843,0.002946
4.193,24.93,0.01869,0.003186
4.193,19.86,0.01903,0.003528
4.193,15.63,0.01936,0.003999
4.193,12.4,0.01979,0.004588
4.193,9.931,0.02022,0.005269
4.193,7.945,0.02085,0.006074
4.193,6.317,0.02171,0.007001
4.193,5.008,0.02286,0.007993
4.193,3.946,0.02437,0.00898
4.193,3.159,0.02607,0.00976
4.193,2.504,0.02811,0.0103
4.193,1.998,0.03021,0.01049
4.193,1.585,0.03236,0.01031
4.193,1.267,0.03427,0.009824
4.193,0.999,0.03604,0.009071
4.193,0.7923,0.03746,0.008229
4.193,0.6334,0.03856,0.007416
4.193,0.504,0.03945,0.006658
4.193,0.4006,0.04016,0.006012
4.193,0.3167,0.04075,0.005491
4.193,0.252,0.04123,0.005127
4.193,0.2003,0.04166,0.004905
4.193,0.1589,0.04205,0.00482
4.193,0.126,0.04248,0.004877
4.193,0.1002,0.04294,0.00507
4.193,0.07945,0.04343,0.005411
4.193,0.06317,0.04379,0.005853
4.193,0.05013,0.04434,0.006444
4.193,0.03983,0.04497,0.007177
4.193,0.03163,0.04572,0.008047
4.193,0.02512,0.04657,0.009068
4.193,0.01996,0.04757,0.01026
4.193,0.01585,0.04872,0.01163
4.193,0.01259,0.05001,0.01319
4.193,0.01,0.05149,0.01493
4.193,0.007944,0.05313,0.01688
4.193,0.00631,0.05495,0.01906
4.193,0.005012,0.0568,0.02151
4.193,0.003981,0.05862,0.02436
4.193,0.003162,0.06067,0.02781
4.193,0.002512,0.06277,0.03197
4.193,0.001995,0.06488,0.03705
4.193,0.001585,0.06711,0.04334
4.193,0.001259,0.06936,0.05115
4.193,0.001,0.07181,0.06085
4.193,0.0007943,0.07447,0.07299
4.193,0.0006275,0.07762,0.08859
4.193,0.0005037,0.08089,0.1068
4.193,0.0003974,0.08459,0.1313
4.193,0.0003165,0.08881,0.1609
4.193,0.0002519,0.09159,0.1977
4.193,0.0001998,0.09034,0.2428
4.193,0.0001583,0.09521,0.3025
4.193,0.0001259,0.1022,0.3769
4.193,9.99e-05,0.1017,0.4679
4.193,7.948e-05,0.1113,0.5861
4.193,6.308e-05,0.1138,0.7316
4.193,5.009e-05,0.1213,0.9166
4.193,3.983e-05,0.1301,1.149
4.193,3.162e-05,0.1393,1.442
4.193,2.512e-05,0.1538,1.813
4.193,1.995e-05,0.1694,2.283
4.193,1.585e-05,0.1953,2.88
4.193,1.259e-05,0.2185,3.624
4.193,9.999e-06,0.241,4.542
